Question, Answer
What time does the shop open?,The shop opens at 8:00 AM.
What time does the shop close?,The shop closes at 7:00 PM.
Do you have CT100 bike tires?,yes we have CT100 bike tires in stock
Do you sell car tires?,Yes we offer a wide range of car tires.
Do you provide tire installation services?,Yes we provide professional tire installation services
Do you offer wheel alignment services?,no
Do you sell second-hand tires?,yes
Do you have tubeless tires?,Yes we have a variety of tubeless tires available
What brands of tires do you sell?,We sell brands like Michelin/Bridgestone/MRF/CEAT and more
Do you offer discounts on bulk purchases?,Yes we offer discounts for bulk tire purchases

,
,
,
,
,
,
,
,
,
